Milestone,Parent Task,Parent Description,Sub-Task,Sub-Task Description,Sub-Sub-Task,Sub-Sub-Task Description,Assignee,Due Date,Comments
"Preparing for DRPM","Submit Critical Reports","Submit Critical Reports and Final Highest Priority Conversation","Estate Attorney","Click on subtask below for list of reports","Legacy Flow Chart","The Legacy Flow Chart Updated","","12/10/2025",""
"Preparing for DRPM","Submit Critical Reports","Submit Critical Reports and Final Highest Priority Conversation","Estate Attorney","Click on subtask below for list of reports","POA Summary","POA Summary Updated","","12/10/2025",""
"Preparing for DRPM","Submit Critical Reports","Submit Critical Reports and Final Highest Priority Conversation","Estate Attorney","Click on subtask below for list of reports","Asset Titling Report","Asset Titling Report Updated","","12/10/2025",""
"Preparing for DRPM","Submit Critical Reports","Submit Critical Reports and Final Highest Priority Conversation","Financial Planner","Click on subtask below for list of reports","Goal Blueprint","The Goal Blueprint Updated","","12/10/2025",""
"Preparing for DRPM","Submit Critical Reports","Submit Critical Reports and Final Highest Priority Conversation","Financial Planner","Click on subtask below for list of reports","Lifetime Capital Projection","Lifetime Capital Projection","","12/10/2025",""
"Preparing for DRPM","Submit Critical Reports","Submit Critical Reports and Final Highest Priority Conversation","Financial Planner","Click on subtask below for list of reports","Multiple Scenario Projections","Multiple Scenario Projections","","12/10/2025",""
"Preparing for DRPM","Submit Critical Reports","Submit Critical Reports and Final Highest Priority Conversation","Insurance Planner - Life","Click on subtask below for list of reports","Insurance Grid","Insurance Grid Updated","","12/10/2025",""
"Preparing for DRPM","Submit Critical Reports","Submit Critical Reports and Final Highest Priority Conversation","Insurance Planner - P&C","Click on subtask below for list of reports","Insurance Grid","Insurance Grid Updated","","12/10/2025",""
"Preparing for DRPM","Submit Critical Reports","Submit Critical Reports and Final Highest Priority Conversation","Insurance Planner - Health","Click on subtask below for list of reports","Insurance Grid","Insurance Grid Updated","","12/10/2025",""
"Preparing for DRPM","Submit Critical Reports","Submit Critical Reports and Final Highest Priority Conversation","Money Managers","Click on subtask below for list of reports","","","","12/10/2025",""
"Preparing for DRPM","Submit Critical Reports","Submit Critical Reports and Final Highest Priority Conversation","Tax Planner","Click on subtask below for list of reports","Annual Tax Projection","Annual Tax Projection Completed","","12/10/2025",""
"Preparing for DRPM","Submit Critical Reports","Submit Critical Reports and Final Highest Priority Conversation","Tax Planner","Click on subtask below for list of reports","Tax Return Copy","Copy of Last Tax Return Filed on Record","","12/10/2025",""
"Preparing for DRPM","Trust Advisor Review","Trust Advisor Review of Preliminary Packet","","","","","","12/11/2025",""
"Preparing for DRPM","Preliminary Packet Distribution","Preliminary Packet Distributed to Team with Expectation Letter #3 to Team Through ClientHub","","","","","","12/12/2025",""
"Preparing for DRPM","Nominations and Deliverables","Nominations and Deliverable Checkpoints Due","Client Service Rep","Click on subtask below for list of reports","CSR01 Confirm Status","CSR01 Confirm Status of Last Meeting's Action Items","","12/19/2025",""
"Preparing for DRPM","Nominations and Deliverables","Nominations and Deliverable Checkpoints Due","Client Service Rep","Click on subtask below for list of reports","CSR02 Implementation Plan","CSR02 Implementation Plan-of-Action Updated","","12/19/2025",""
"Preparing for DRPM","Nominations and Deliverables","Nominations and Deliverable Checkpoints Due","Client Service Rep","Click on subtask below for list of reports","CSR03 Unfinished Recommendations","CSR03 Unfinished Recommendations are Updated","","12/19/2025",""
"Preparing for DRPM","Nominations and Deliverables","Nominations and Deliverable Checkpoints Due","Client Service Rep","Click on subtask below for list of reports","CSR04 Debts Updated","CSR04 Debts are Updated on The Circle Chart","","12/19/2025",""
"Preparing for DRPM","Nominations and Deliverables","Nominations and Deliverable Checkpoints Due","Client Service Rep","Click on subtask below for list of reports","CSR05 Since Inception Report","CSR05 The Since Inception Report Completed","","12/19/2025",""
"Preparing for DRPM","Nominations and Deliverables","Nominations and Deliverable Checkpoints Due","Client Service Rep","Click on subtask below for list of reports","CSR06 Growth Progress Report","CSR06 The Growth Progress Since Last Meeting Report Completed","","12/19/2025",""
"Preparing for DRPM","Nominations and Deliverables","Nominations and Deliverable Checkpoints Due","Client Service Rep","Click on subtask below for list of reports","CSR07 Growth Progress Since Inception","CSR07 The Growth Progress Since Inception Report Completed","","12/19/2025",""
"Preparing for DRPM","Nominations and Deliverables","Nominations and Deliverable Checkpoints Due","Client Service Rep","Click on subtask below for list of reports","CSR08 Goals Progress Report","CSR08 The Goals Progress Report Completed","","12/19/2025",""
"Preparing for Progress Meeting","DRPM Meeting","DRPM Meeting Execution","","","","","","12/15/2025",""
"Preparing for Progress Meeting","Corrections from DRPM","Corrections from DRPM Notes Made to Packet","","","","","","12/16/2025",""
"Preparing for Progress Meeting","Packet Sealed","Packet Sealed and Made Available to TA","","","","","","12/17/2025",""
"Preparing for Progress Meeting","Final Team Meeting","Final Team Meeting Before Client Progress Meeting","","","","","","12/18/2025",""
"After Progress Meeting","Send Post Meeting Notes","Send Post Meeting Notes and Action Items","","","","","","12/20/2025",""
"After Progress Meeting","Archive Meeting","Archive Meeting and Create Next Meeting Project in ClientHub","","","","","","12/21/2025",""
