Milestone,Parent Task,Description of Parent Task,Sub-Task,Sub-Task Description,Sub-Sub-Task,Sub-Sub-Task Description,Assignee,Due Date,Comments Section
Preparing for DRPM,"Generate Reports in Database, Documents Due for Preliminary Packet",,Financial Roadmap Updated,,,,,12/10/2025,
Preparing for DRPM,"Generate Reports in Database, Documents Due for Preliminary Packet",,Implementation Plan (GPS) Updated,,,,,12/10/2025,
Preparing for DRPM,"Generate Reports in Database, Documents Due for Preliminary Packet",,Paperwork Sources Updated,,,,,12/10/2025,
Preparing for DRPM,"Generate Reports in Database, Documents Due for Preliminary Packet",,Behind the Numbers Report Generated,,,,,12/10/2025,
Preparing for DRPM,"Generate Reports in Database, Documents Due for Preliminary Packet",,Numbers History Report Updated,,,,,12/10/2025,
Preparing for DRPM,"Generate Reports in Database, Documents Due for Preliminary Packet",,Since Inception Report Updated,,,,,12/10/2025,
Preparing for DRPM,"Generate Reports in Database, Documents Due for Preliminary Packet",,Goal Progress Report,,,,,12/10/2025,
Preparing for DRPM,"Generate Reports in Database, Documents Due for Preliminary Packet",,Growth Progress Since Last Meeting Generated,,,,,12/10/2025,
Preparing for DRPM,"Generate Reports in Database, Documents Due for Preliminary Packet",,Growth Progress Since Inception Generated,,,,,12/10/2025,
Preparing for DRPM,"Generate Reports in Database, Documents Due for Preliminary Packet",,Annual Income From Current Assets Report Generated,,,,,12/10/2025,
Preparing for DRPM,"Generate Reports in Database, Documents Due for Preliminary Packet",,Total Progress Report Generated,,,,,12/10/2025,
Preparing for DRPM,"Generate Reports in Database, Documents Due for Preliminary Packet",,The Master Goal Tracker Updated,,,,,12/10/2025,
Preparing for DRPM,Submit Critical Reports and Final Highest Priority Conversation,Click on subtask below for list of reports ,Estate Attorney,,The Legacy Flow Chart Updated,,,12/10/2025,
Preparing for DRPM,Submit Critical Reports and Final Highest Priority Conversation,Click on subtask below for list of reports ,Estate Attorney,,POA Summary Updated,,,12/10/2025,
Preparing for DRPM,Submit Critical Reports and Final Highest Priority Conversation,Click on subtask below for list of reports ,Estate Attorney,,Asset Titling Report Updated,,,12/10/2025,
Preparing for DRPM,Submit Critical Reports and Final Highest Priority Conversation,Click on subtask below for list of reports ,Financial Planner,,The Goal Blueprint Updated,,,12/10/2025,
Preparing for DRPM,Submit Critical Reports and Final Highest Priority Conversation,Click on subtask below for list of reports ,Financial Planner,,Lifetime Capital Projection,,,12/10/2025,
Preparing for DRPM,Submit Critical Reports and Final Highest Priority Conversation,Click on subtask below for list of reports ,Financial Planner,,Multiple Scenario Projections,,,12/10/2025,
Preparing for DRPM,Submit Critical Reports and Final Highest Priority Conversation,Click on subtask below for list of reports ,"Insurance Planner - Life, LTC, Disability ",,Insurance Grid Updated,,,12/10/2025,
Preparing for DRPM,Submit Critical Reports and Final Highest Priority Conversation,Click on subtask below for list of reports ,"Insurance Planner - P&C, Business",,Insurance Grid Updated,,,12/10/2025,
Preparing for DRPM,Submit Critical Reports and Final Highest Priority Conversation,Click on subtask below for list of reports ,Insurance Planner - Health ,,Insurance Grid Updated,,,12/10/2025,
Preparing for DRPM,Submit Critical Reports and Final Highest Priority Conversation,Click on subtask below for list of reports ,Money Managers,,,,,12/10/2025,
Preparing for DRPM,Submit Critical Reports and Final Highest Priority Conversation,Click on subtask below for list of reports ,Tax Planner,,Annual Tax Projection Completed,,,12/10/2025,
Preparing for DRPM,Submit Critical Reports and Final Highest Priority Conversation,Click on subtask below for list of reports ,Tax Planner,,Copy of Last Tax Return Filed on Record,,,12/10/2025,
Preparing for DRPM,Trust Advisor Review of Preliminary Packet,,,,,,,12/11/2025,
Preparing for DRPM,Preliminary Packet Distributed to Team with Expectation Letter # 3 to Team Through ClientHub,,,,,,,12/12/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Client Service Rep - Meeting Packets ,,CSR01  Confirm Status of Last Meeting's Action Items,,,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Client Service Rep - Meeting Packets ,,CSR02 Implementation Plan-of-Action Updated,"The comprehensive written lifetime financial strategy for this client has been reviewed within the last four months and, as a result, action items and recommendations have been added, deleted or amended on The Greatest Probability Strategy:tm: (GPS) step-by-step implementation plan-of-action.",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Client Service Rep - Meeting Packets ,,CSR03  Unfinished Recommendations are Updated,Any and all uncompleted action items on The Greatest Probability Strategy:tm: (GPS) have been updated with new target dates and the impact has been reflected and updated in the lifetime capital projection within the past four months.,,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Client Service Rep - Meeting Packets ,,CSR04  Debts are Updated on The Circle Chart,,,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Client Service Rep - Meeting Packets ,,CSR05 The Since Inception Report Completed,"Prior to every Client Progress Meeting a single-page report called  The Progress Since Inception Report:tm: of this client’s relationship with our firm listing these specific amounts:     Initial Growth Asset Value Total (with date of initial deposit), Current Growth/Goal Asset Value (every asset and account earmarked for a future goal), Total Value of All Subsequent Deposits, Total Value of All Client Withdrawals (flows between accounts are ignored) has been updated within the past four months. This completed report is to be included in The Client Prep Packet:tm:.""",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Client Service Rep - Meeting Packets ,,CSR06 The Growth Progress Since Last Meeting Report Completed,"This report is called The Progress Report Since Last Meeting:tm:.  Instructions to create this report are found here…Prior to every Client Progress Meeting complete The Progress Since Last Meeting Report:tm: listing these specific amounts:    Growth/Goal Asset Value Total reported at the last Client Progress Meeting (with date of the last Client Progress Meeting)  Current Growth Asset Value    Total Value of All Subsequent Deposits since the last meeting date.  Total Value of All Client Withdrawals since the last meeting (flows between accounts are ignored) These values have been updated within the past four months. This completed report is to be included in The Client Prep Packet:tm:""",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Client Service Rep - Meeting Packets ,,CSR07 The Growth Progress Since Inception Report Completed,,,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Client Service Rep - Meeting Packets ,,CSR08 The Goals Progress Report Completed,"This report is entitled The Goals Progress Report:tm:.  Instructions to create this report are found here...Prior to every Client Progress Meeting a single-page report called  The Goal Progress Report:tm: has been updated for this client within the past four months listing the amount (in dollars) required for the accomplishment of each goal benchmarked against the current value of the growth assets. This completed report is to be included in The Client Prep Packet:tm:.""",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Client Service Rep - Meeting Packets ,,CSR09  The Numbers History Report Completed,"This report is called The Numbers History:tm:.  To see a sample of this report go to The CORRECTED Client Prep Packet:tm: in one of the script binders (here's a link to The Goal Progress Outlook:tm: The Client Prep Packet:tm:). Prior to every Client Progress Meeting a single page report called “The Numbers History:tm:” has been updated (every four months); for every client meeting date the following total values are updated:    Cash Reserves,     Growth/Goal Assets (all assets and accounts earmarked for funding a future goal)    Debt.Also noted on this report for every client meeting date are the numbers explaining the difference in value of growth asset since the last meeting:    This client added (or withdrew) $?.?? (dollars),     The market added (or extracted or removed) $?.?? (dollars)This completed report is to be included in The Client Prep Packet:tm:""",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Client Service Rep - Meeting Packets ,,CSR10 The Circle Chart Completed,"The Circle Chart:tm: (TCC), a one-page report, listing
    Both spouses' names,
    Dates of birth,
    Current age,
    Every growth/goal asset,
    Every investment or financial account, including
        account number,
        cash position within a larger account
        maturity date
        top holdings (symbols) if there is space available within that circle
    all personal debt/liabilities including
        Interest rate and
        Payoff date),
    All inflows and outflows
        such as a person's
            Income/salary
            Regular
        Including
            frequency and
            taxes withheld (or prepaid) noted
The Circle Chart:tm: has been updated prior to every Dry-Run Prep Meeting:tm: (within the past four months).
PREFERENCE: It is preferable to include all real estate properties on The Circle Chart:tm:, even if they will not be earmarked to fund future goals.  This includes the primary residence.",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Client Service Rep - Meeting Packets ,,CSR11  The Comprehensive Safety Review Exercise Completed,"Within the past twelve months the Deliverables Team has fully discussed every danger and threat to the comprehensive written lifetime financial plan with strategies developed for each, to include a discussion with every Subject Matter Expert (SME) advising this client.
This particular Deliverables Checkpoint:tm: is one of a very few which will actually occur at the client progress meeting, not before.  

Since this checkpoint will bring-in our Ideal Clients to this conversation to identify risks, it is important that our Subject Matter Experts understand that, even after their thorough insurance review, there may be new information or risks which need to be considered after this client progress meeting
    The Financial Planning Subject Matter Expert has coordinated with the Insurance Subject Matter Expert (and other Deliverables Team Members) to identify all significant risks to this client's plan, building scenarios, projections and strategies for each
    Trusted Advisor completes The Comprehensive Safety Review Exercise :tm: with each client to harvest their views of the most significant risks to their plan (often completely different issues)
        Download the exercise here. Read more...
        Read the CSR client progress meeting script to grasp how to facilitate the The Comprehensive Safety Review Exercise:tm:. Read More...
NOTE:
    Trusted Advisor is primary and facilitates The Comprehensive Safety Review Exercise:tm: with each client during The Comprehensive Safety Review:tm:Client Progress Meeting.
    The Financial Planning Subject Matter Expert is responsible for taking the results of this client-exercise and coordinating any and all resulting action items with the rest of the Deliverables Team
Since this Deliverables Checkpoint:tm: exercise will occur at this client progress meeting, the only information due before The Dry-Run Prep Meeting:tm: deadline could be, for example, to alert the team if this exercise might be skipped during the meeting.  For example, if this client is embroiled in a crisis or perhaps is in the middle of a major planning situation (sale of business, etc), then The Comprehensive Safety Review Exercise:tm: might be preempted and deferred to the following client progress meeting.",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Deliverable Teams Coordinator,,DTC01 Send Expectations Letter to All SMEs 69 Days in Advance of Progress Meeting ,,,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Deliverable Teams Coordinator,,DTC02 Consolidate Any Items Needed by SMEs,,,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Deliverable Teams Coordinator,,DTC03 All Deliverables Team Members Attend DRPM,,,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Deliverable Teams Coordinator,,DTC04 No Overdue Action Items or Recommendations ,,,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Deliverable Teams Coordinator,,DTC05 Deliverables Team Members Submit Action Items by Due Date ,,,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Deliverable Teams Coordinator,,DTC06 The Insurance Grid is Completed,,,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Deliverable Teams Coordinator,,DTC07 Consolidate Highest Priority Conversations,,,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Estate Planner,,EP06  Determine if Tax Laws or Client Situations Have an Effect on a Client's Estate Plan,"Estate plan has been thoroughly reviewed by estate attorney, in consultation with the Tax SME, within four months of any significant change in estate or relevant tax laws or circumstances within this client’s estate.",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Estate Planner,,EP07  Determine the Necessity of a Life Insurance Trust,"Trust ownership is considered for all current and future life insurance otherwise owned by this client.
Life insurance trusts may be established for a variety of estate planning purposes, including:

To provide security for an Ideal Client's family after the death of the insured while providing control over how the death proceeds are invested or distributed to their beneficiaries
To provide liquidity to your Ideal Client's estate to pay debts and obligations, such as estate taxes
Life insurance trusts may be either revocable or irrevocable
It is possible that placing life insurance in an irrevocable life insurance trust could give Ideal Clients more control over their insurance policies and the money that is paid from them. It also may reduce or even eliminate estate taxes in some parts of the world, so more of your Ideal Client's estate can go to their heirs.
Often the goal of an irrevocable life insurance trust is to reduce or eliminate estate taxes. For Ideal Clients who have a large life insurance policy, the worry is that the life insurance policy will pay out into the estate, increasing the size of the taxable estate – and the possibility that the estate may owe estate taxes.  Sometimes these life policies can be placed into an irrevocable life insurance trust so that the proceeds of the life insurance are not added to your Ideal Client's estate upon death (reducing the size of the estate for estate-tax purposes)
Life Insurance Trusts have both advantages and disadvantages, all of which will be detailed in writing as a result of considering this Deliverables Checkpoint:tm:",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Financial Planner,,FP01  Establish Cash Reserves Amount,"The Cash Reserves Target amount, which is the exact amount of cash reserves needed for the unexpected, has been calculated and updated at least annually and spot-checked every four months.  Also referred to as Emergency Fund or Contingency Fund.",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Financial Planner,,FP05  Establish Strategy for the Purchase of Next Major Asset,"Point of View (POV): You should be aware of the target date and timing of discussions prior to every major purchase by a client as well as client goals and reach-out to Ideal Clients prior to every goal target date (at the preceding client progress meetings).  Note this client's next major purchase and schedule those discussions on The Greatest Probability Strategy:tm: (GPS).
Ensure that the study of the quickest, least expensive and time saving method of acquiring the next major purchase (e.g. vehicle sales process) has been recommended to this client well in-advance of every major purchase.
Smaller goals may be discussed just two client progress meetings prior to the goal target date.  Certain ""huge"" goals, such as ""financial independence"" require substantially longer lead-time to set up the goal funding distributions.  Your job is to set the number of meetings prior to the goal target date that goal funding distributions discussions need to begin.  Once set, document these planned discussions on both The Greatest Probability Strategy:tm: (GPS) and The Goal Blueprint:tm: for each goal.
Your Tax Planning Subject Matter Expert is the back-up for this checkpoint because there are often tax issues which need to be considered prior to many major purchases
You have an opportunity here to make life easier for your clients, as Financial Planning Subject Matter Expert do a little research and use your skill, experience and special knowledge to document a process for each of the following scenarios using The Best Way:tm: method:
    Vehicle purchasing (discussed more specifically in 8D8 & 7V6)
    Boat purchasing
    Recreational Vehicle purchasing
    Vacation or 2nd home purchasing
    Jewelry purchasing
    Fine Art / Collectible purchasing
    Private Jet travel program purchasing
etc. etc.",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Financial Planner,,FP07  Actions from the Debt Reduction Plan Added to the Implementation Plan,"The smartest payoff schedule has been created and is updated at least every twelve (12) months to establish that the plan is being followed (client accountability).
If a recommendation is made to make payments other than specified by the debt agreement, specific recommended payment amounts for each specific debt are clearly described on The Greatest Probability Strategy:tm:.
If there is a recommendation to make payments other than specified by the debt agreement, the new recommended payment amounts for each specific debt are clearly described on The Greatest Probability Strategy:tm:; a detailed schedule of all debts are maintained on a separate document(s).",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Financial Planner,,FP08  Least Complicated Account Design Established,"At least three times over the past year, it has been reviewed and established that the fewest number of accounts exist (simplicity) necessary to accomplish the results outlined in the comprehensive written lifetime financial strategy.",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Financial Planner,,"FP11  ""Projected"" vs. ""Actual"" Spending Reviewed","A review has been made comparing the ""actual figures"" with the ""previously projected figures."" An impact review of “actual v. projected” inflows & outflows (e.g. planned and unplanned personal income & expenditures) has been performed within the past 12 months (spot-checked prior to every Client Progress Meeting) to determine if revenues and expenses are on-track or off-track as compared to the most recent personal expense projection provided by this client.",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Financial Planner,,FP14  Collateral Values Established,"All Collateral for debts have been studied, checking loan to value requirements within the loan agreement, at least annually. Check for market risk: Is there any risk that a reduction in the values of collateral could trigger a need for increased collateral or other problems?
NOTE: If assets are pledged as collateral the loan document, or debt agreement, may specify the frequency and means for valuing the collateral.  If collateral values drop, then the loan agreement may require additional collateral.  Proactive planning will eliminate any surprises (unexpected request for additional collateral).",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Financial Planner,,FP16  Minimum Cash Levels Calculated for Each Account,"Point of View (POV): Several accounts for this client may have ""cash equivalent"" balances within them.  We need to be certain that the cash balances in those accounts are at the level required (for planned distributions, as a part of the investment asset allocation, etc).  To ensure the right amount of ""cash"" is in each account, we will set a target amount for ""cash"" in every one of these accounts.  We'll call this target cash balance the ""par level"" since the balance will often vary above & below that target amount.
Deliverables Checkpoint:tm:
The proper amount of “cushion”, cash (or cash equivalents), needed in each and every financial asset account (including the checking (operating) accounts, has been calculated and funded within the past four months.
If regular or systematic withdrawals are being made from any account ensure there is adequate ""cash"" in each account to cover those distributions until the next cash ""par level"" review. EXAMPLE: ""If an account has a monthly systematic withdrawal established and there is not enough cash to fulfill those automatic monthly withdrawals prior to the next review, like this, of the cash-par levels, then the cash target for this hypothetical account needs to be increased to accommodate the automatic withdrawals as well as an action item to actually increase the ""cash"" in that account to the new target par level""
Definition of ""Par Level"": A term often used in inventory accounting, ""par level"" is the specified amount of inventory an enterprise wishes to have at a certain location.  In this context, think of every financial account belonging to this client as a certain location where there exists and inventory of, often various, holdings.  The inventory could be stocks, bonds, mutual funds, Exchange Traded Funds (ETFs), Index funds, and cash (or cash equivalents).  Some accounts only hold cash (or cash equivalents). So the ""Cash"" Par-level for this account is the ""cash"" target amount set by the Subject Matter Expert for each account to be able to determine quickly whether each account possesses sufficient ""cash""  until the next ""Cash"" Par-level review.",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Financial Planner,,"FP17  Verify No ""Identity Theft"" has Occurred","Deliverables Checkpoint:tm:
Identity theft risk has been evaluated by an Insurance Subject Matter Expert (SME) within the past 12 months.
Definition:
""Identity Theft"" is the fraudulent acquisition and use of a person's private identifying information, usually for financial gain. ""Identity Theft"" is the crime of obtaining the personal or financial information of another person for the sole purpose of assuming that person's name or identity in order to make transactions or purchases.
NOTE: Analyze suitable services available to alert to potential ""Identity Theft"" problems in ""real time.""",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Financial Planner,,FP18  Credit Reports Checked for Inaccuracy & Fraud,"Point of View (POV): If ever this client needs to borrow money an exceptional credit report will result in lower interest rates.  Since any errors on the credit report or fraudulent use of this client's credit will serve as demerits staining this client's credit reputation, an annual spot-check of the credit report is called-for.
Also, if any individual, or business entity, owes this client a significant amount of money then that person's credit rating should be spot-checked to re-assess our confidence that the money will be repaid.
Deliverables Checkpoint:tm:
    Credit reports have been reviewed for errors and fraud protection within the past twelve months.
Reports should be reviewed for every person or entity for which funding is anticipated for future goals.",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Financial Planner,,FP19  Confirm Future Income Streams,"Within the past year (16+ months when possible), due diligence has been thoughtfully performed on the veracity and integrity of all sources of future income streams anticipated by the plan (specific amounts and frequency of payments) with contingency strategies being developed to increase safety in the event any projected income (utilized in the lifetime capital projection) becomes unavailable.",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Financial Planner,,FP20  Cash Reserves Plan Includes Insurance Deductibles,"Point of View (POV): If recommended by our Insurance Subject Matter Expert, we are comfortable with increasing the deductibles on all insurance policies because we fund the cash reserves accounts with additional amounts for all insurance deductibles and ""waiting periods.""
Deliverables Checkpoint:tm:
The optimal amount has been calculated and funded annually as a part of cash reserves to fund potential insurance deductibles, but utilized only if triggered by a loss.",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Financial Planner,,FP21  Establish Whether Client Will Likely Provide Assistance to Others,A financial impact review of individuals who may potentially be supported financially (aging relatives or young people with financial needs) has been reviewed within the past twelve months.,,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,Financial Planner,,FP51 Analyze Whether Client Should Do a Balance Transfer of Debt,,,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,"Insurance Planner - Life, LTC, Disability",,INC1  Analyze Long Term Care Insurance Need,"Long-Term Care Insurance has been analyzed within the past twelve months to determine: 
(1) If it is needed right now 
(2) If needed, exactly how much is necessary, and 
(3) What’s the right kind of Long-Term Care Insurance for this situation
Long-Term Care Insurance helps provide for the cost of long-term care beyond a predetermined period and covers care generally not covered by health insurance, or other type of insurance.",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,"Insurance Planner - Life, LTC, Disability",,INC2  Determine Most Beneficial Riders Associated with Long Term Care Insurance,—,,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,"Insurance Planner - Life, LTC, Disability",,IND1  Analyze Disability Insurance Need,"Disability Insurance has been analyzed within the past twelve months to determine: 
(1) If it is needed right now 
(2) If needed, exactly how much is necessary, and 
(3) What's the right kind of Disability Insurance for this situation",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,"Insurance Planner - Life, LTC, Disability",,INH1  Analyze Health Insurance Need,"Health Insurance has been analyzed within the past twelve months to determine: 
(1) If it is needed right now 
(2) If needed, exactly how much is necessary, and 
(3) What's the right kind of Health Insurance for this situation",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,"Insurance Planner - Life, LTC, Disability",,INH2 Determine Need for Medicare Supplement Insurance,"Medicare Supplement Insurance has been analyzed within the past twelve months to determine: 
(1) If it is needed right now 
(2) If needed, exactly how much is necessary, and 
(3) What's the right kind of Medicare Supplement Insurance for this situation",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,"Insurance Planner - Life, LTC, Disability",,INL1  Analyze Life Insurance Need,"All insurance (currently owned and potentially owned) has been reviewed as a part of the full insurance review conducted at least once over the past 12-months.
As a part of that review, Life Insurance has been analyzed within the past twelve months to determine:
(1) If it is needed right now
(2) If needed, exactly how much is necessary, and
(3) What’s the right kind of Life Insurance for this situation",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,"Insurance Planner - Life, LTC, Disability",,INL2  Analyze Accidental Death Insurance Need,"Accidental Death and Dismemberment Insurance has been analyzed within the past twelve months to determine: 
(1) If it is needed right now 
(2) If needed, exactly how much is necessary, and 
(3) What’s the right kind of Accidental Death and Dismemberment Insurance for this situation",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,"Insurance Planner - Life, LTC, Disability",,"INL3  Analyze Need for ""Key Man"" Insurance","Key-Man Insurance has been analyzed within the past twelve months to determine: 
(1) If it is needed right now 
(2) If needed, exactly how much is necessary, and 
(3) What's the right kind of Key-Man Insurance for this situation",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,"Insurance Planner - Life, LTC, Disability",,INS1  Insurance Premiums Analyzed for Better Prices,"A full review of all insurance premiums has been conducted, and “shopped,” within the past 36 months (insurance company changes can represent risk, should be rare, and only made if all factors have been fully considered).",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,"Insurance Planner - Life, LTC, Disability",,INS2  Frequency of Premium Payments Analyzed," A review of insurance premium payments has been made within the past twelve months to identify the smartest, most suitable, method of payment for each policy.",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,"Insurance Planner - Life, LTC, Disability",,INS3  Analyze All Other Types of Insurance Needed by Client,"Every insurance policy has been reviewed for need, coverage gaps and cost/benefit within the past twelve months.
Coverage other than those below (covered by other Deliverables Checkpoints:tm:)
    Disability Insurance
    Health Insurance
    Life Insurance
    Umbrella Liability Coverage
    Long Term Care Insurance
    Errors & Omissions or ""Malpractice"" Insurance
    Business Insurance
    Property & Casualty Insurance
    Accidental Death & Dismemberment Insurance
       Specialty Insurance currently offered or available by client's institutions or through existing policies",,12/19/2025,
Preparing for DRPM,Nominations and Deliverable Checkpoints Due,Click on subtask below for list of reports ,"Insurance Planner - Life, LTC, Disability",,INS4  Calculate the Most Cost Effective Deductible Levels,"All deductibles and ""waiting period"" on every existing policy has been analyzed for suitability (and premium savings) within the past twelve months.",,12/19/2025,
